match_sk,match_id,team1,team2,match_date,season_year,venue_name,city_name,country_name,toss_winner,match_winner,toss_name,win_type,outcome_type,manofmach,win_margin,country_id,match_date_cleaned
174,419170,Chennai Super Kings,Mumbai Indians,4/25/2010,2010,Dr Dy Patil Sports Academy,Mumbai,India,Chennai Super Kings,Chennai Super Kings,Bat,Runs,Result,Sk Raina,22,1,2010-04-25
175,501203,Chennai Super Kings,Kolkata Knight Riders,4/8/2011,2011,"Ma Chidambaram Stadium, Chepauk",Chennai,India,Chennai Super Kings,Chennai Super Kings,Bat,Runs,Result,S Anirudha,2,1,2011-04-08
176,501204,Deccan Chargers,Rajasthan Royals,4/9/2011,2011,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Rajasthan Royals,Rajasthan Royals,Field,Wickets,Result,Sk Trivedi,8,1,2011-04-09
177,501205,Kochi Tuskers Kerala,Royal Challengers Bangalore,4/9/2011,2011,Nehru Stadium,Kochi,India,Kochi Tuskers Kerala,Royal Challengers Bangalore,Bat,Wickets,Result,Ab De Villiers,6,1,2011-04-09
178,501206,Delhi Daredevils,Mumbai Indians,4/10/2011,2011,Feroz Shah Kotla,Delhi,India,Delhi Daredevils,Mumbai Indians,Bat,Wickets,Result,Sl Malinga,8,1,2011-04-10
179,501207,Pune Warriors,Kings Xi Punjab,4/10/2011,2011,Dr Dy Patil Sports Academy,Mumbai,India,Kings Xi Punjab,Pune Warriors,Bat,Wickets,Result,Sb Wagh,7,1,2011-04-10
180,501208,Kolkata Knight Riders,Deccan Chargers,4/11/2011,2011,Eden Gardens,Kolkata,India,Kolkata Knight Riders,Kolkata Knight Riders,Bat,Runs,Result,Jh Kallis,9,1,2011-04-11
181,501209,Rajasthan Royals,Delhi Daredevils,4/12/2011,2011,Sawai Mansingh Stadium,Jaipur,India,Delhi Daredevils,Rajasthan Royals,Bat,Wickets,Result,Sk Warne,6,1,2011-04-12
182,501210,Royal Challengers Bangalore,Mumbai Indians,4/12/2011,2011,M Chinnaswamy Stadium,Bangalore,India,Mumbai Indians,Mumbai Indians,Field,Wickets,Result,Sr Tendulkar,9,1,2011-04-12
183,501211,Kings Xi Punjab,Chennai Super Kings,4/13/2011,2011,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Kings Xi Punjab,Kings Xi Punjab,Field,Wickets,Result,Pc Valthaty,6,1,2011-04-13
